company,datePublished,author,headline,description,articleBody,tags,url
SBI,2019-12-27T16:12:31+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","SBI to launch OTP-based cash withdrawal at all its ATMs from January 1, 2020 onwards","However, the facility won't apply in case of transactions made by SBI card holders at any other bank's ATM.","  The State Bank of India (SBI) will switch to a one-time password (OTP) based cash withdrawal system at all its ATMs from January 1, 2020, onwards.  With this latest move, the lender aims to ensure the protection of its customers from unauthorised transactions at ATMs.  &amp;quot;Introducing the OTP-based cash withdrawal system to help protect you from unauthorized transactions at ATMs. This new safeguard system will be applicable from 1st Jan, 2020 across all SBI ATMs,&amp;quot; SBI said in a tweet.  Introducing the OTP-based cash withdrawal system to help protect you from unauthorized transactions at ATMs. This new safeguard system will be applicable from 1st Jan, 2020 across all SBI ATMs. To know more: https://t.co/nIyw5dsYZq#SBI #ATM #Transactions #SafeWithdrawals #Cash pic.twitter.com/YHoDrl0DTe &mdash; State Bank of India (@TheOfficialSBI) December 26, 2019   The new OTP-based ATM withdrawal will be applicable for transactions above Rs 10,000, between 8 pm to 8 am. Customers withdrawing cash from SBI ATMs will receive an OTP on their mobile number registered with the bank. However, the facility won't apply in case of transactions made by SBI card holders at any other bank's ATM.","Business,India,State Bank of India",https://www.moneycontrol.com//news/business/sbi-to-launch-otp-based-cash-withdrawal-at-all-its-atmsjanuary-1-2020-onwards_13306461.html
SBI,2019-12-18T20:06:04+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Ruchi Soya acquisition | Patanjali Ayurved completes implementation of resolution plan: Report,Sources also said that Patanjali has completed the process of transfer of equity and debt portions to lenders.,"Baba Ramdev-led Patanjali Ayurved has completed the final step in the Rs 4,350-crore resolution plan to acquire debt-ridden edible oil firm Ruchi Soya, sources told CNBC-TV18.  Sources said Patanjali has completed the process of transfer of equity and debt portions to lenders.  The company has tied up with five banks- State Bank of India, Union Bank, Punjab National Bank, Syndicate Bank and Allahabad Bank - to finance the acquisition of Ruchi Soya. It had secured loans of around Rs 3,200 crore from the consortium of lenders.  As per earlier reports, the total admitted claims from financial creditors against Ruchi Soya stood at Rs 9,384 crore, while secured financial creditors would get Rs 4,053.19 crore. Under the resolution plan, workmen and employees were to be paid Rs 14.92 crore while unsecured financial creditors were to receive Rs 40 crore.  Ruchi Soya went into insolvency in December 2017. Following this, the insolvency plea filed by two lead creditors &mdash; Standard Chartered Bank and DBS Bank &mdash; was admitted by the NCLT.","Business,Companies,Patanjali Ayurved,Ruchi Soya Industries",https://www.moneycontrol.com//news/business/ruchi-soya-acquisition-|-patanjali-ayurved-completes-implementationresolution-plan-report_13283941.html
SBI,2019-12-17T16:50:06+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",SBI plan to list general insurance arm may take 3 yrs: Rajnish Kumar,SBI had last year listed its life insurance arm and the proceeds came in handy to fight difficulties in asset quality. It is also planning to part-sell its stake in SBI Cards.  ,"SBI chairman Rajnish Kumar on December 17 said it will take up to three years more to list its general insurance arm. The bank will list its asset management company before SBI General Insurance, Kumar said while speaking at the India Economic Conclave organised by Times Network here.  SBI had last year listed its life insurance arm and the proceeds came in handy to fight difficulties in asset quality. It is also planning to part-sell its stake in SBI Cards.  SBI General Insurance, which is a joint venture with Insurance Australia Group, has to &amp;quot;mature&amp;quot; and will await the valuation to touch Rs 50,000 crore, Kumar said.  &amp;quot;We are discussing but if you ask me sequentially then it will be AMC first then SBI General because. We believe that still it is about 2-3 years away before SBI General matures,&amp;quot; he said.  Speaking on the asset quality position, Kumar reiterated that non-performing assets had touched a peak last quarter and there will be an improvement from this quarter onwards.  On telecom exposure, Kumar said the bank had burnt its &amp;quot;fingers and body&amp;quot; in the past, but sounded more confident for the sector now.  He said the risk is a &amp;quot;lot less&amp;quot; now and also added that the bank is in a position to absorb setbacks, if any, in the future.  The bank is not getting much of demand for large projects given the state of the economy and the project loans are much smaller now, Kumar said.  Amid a sustained period of liquidity surplus, he said availability of money to fund the debt requirements of corporates is not the problem, but it is equity raising which is proving to be a difficulty.  Companies are facing difficulties for equity raising due to a slew of concerns, including the general economic scenario and the low investor confidence due to setbacks like losing money in the past.  Kumar said he does not see any &amp;quot;major changes&amp;quot; when it comes to consolidation of state-owned banks.  He, however, hinted that state ownership of lenders limits the discretion of the management in taking business decisions as compared to private sector rivals.  &amp;quot;When you are a private bank, you still have a choice in terms of selecting your client. In SBI, you don't have that choice at times, even if business is not generating profits,&amp;quot; he said.  The SBI chief also admitted that the lender has not delivered to equity investors, but sought the bank to be evaluated on the basis of &amp;quot;stakeholder value&amp;quot; that it is generating.  The equity valuations are suppressed because of a &amp;quot;small segment&amp;quot; not representing over 10 per cent of the balancesheet, which pulls down the performance, Kumar said.  Rather than looking at returns for equity holders by way of share price appreciation, there is a need to look at wider &amp;quot;stakeholder returns&amp;quot; which more number of people across the world are tracking, he said.  Kumar said SBI does not need any capital from the government and will depend on internal accruals and profits itself for its buffers, and also exhorted its peers to do the same.","Business,SBI",https://www.moneycontrol.com//news/business/sbi-plan-to-list-general-insurance-arm-may-take-3-yrs-rajnish-kumar_13279421.html
SBI,2019-12-16T13:02:06+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Essar Steel resolution to boost Q3 number: SBI chief Rajnish Kumar,"&amp;quot;For MSMEs, I think the Insolvency and Bankruptcy Code (IBC) is not the right route. It is more for the bigger corporates. MSMEs should have a rehabilitation...we are not in favour to take them to the NCLT because it will burden the system unnecessarily,&amp;quot; Kumar said.","State Bank of India Chairman Rajnish Kumar on Monday said the resolution of Essar Steel will boost profitability in the third quarter of the current financial year. Besides, resolution of other stressed assets which are in the pipeline will have positive impact in the fourth quarter, he said.  The resolution of Essar Steel is a huge positive for the economy, he said.  &amp;quot;For MSMEs, I think the Insolvency and Bankruptcy Code (IBC) is not the right route. It is more for the bigger corporates. MSMEs should have a rehabilitation...we are not in favour to take them to the NCLT because it will burden the system unnecessarily,&amp;quot; Kumar said.  He also said there will be money coming in from SBI Card stake dilution in the months to come.","Business,Companies,Essar Steel,Q3,Rajnish Kumar,SBI",https://www.moneycontrol.com//news/business/essar-steel-resolution-to-boost-q3-number-sbi-chief-rajnish-kumar_13274721.html
SBI,2019-12-13T19:48:06+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","CCI approves stake buy in SBI General Insurance by Napean Opportunities, Honey Wheat","The transaction involves acquisition of 16.01 per cent paid-up share capital of SBI General Insurance by Napean Opportunities and 9.99 per cent by Honey Wheat Investment Ltd, the CCI said in two separate statements.  ","The Competition Commission of India (CCI) on December 13 said it has approved acquisition of shares in SBI General Insurance by Napean Opportunities LLP and Honey Wheat.  The transaction involves acquisition of 16.01 per cent paid-up share capital of SBI General Insurance by Napean Opportunities and 9.99 per cent by Honey Wheat Investment Ltd, the CCI said in two separate statements.  State-owned State Bank of India (SBI) in October said its joint venture partner IAG would sell entire 26 per cent stake in its subsidiary SBI General Insurance to Napean Opportunities and WP Honey Wheat for an undisclosed amount.  The country's largest lender and Insurance Australia Group (IAG) held 70 per cent and 26 per cent, respectively, in SBI General Insurance.  &amp;quot;The agreements have been reached with Napean Opportunities LLP (an affiliate of Premji Invest) to acquire a 16.01 per cent interest and WP Honey Wheat Investment Ltd (Warburg Pincus Group) to acquire a 9.99 per cent interest,&amp;quot; SBI had said.  The Competition Commission of India (CCI) has also approved Sanaka Growth SPV I Ltd's investment in Edelweiss Securities Ltd (ESL).  &amp;quot;The proposed combination relates to investment by Sanaka in ESL and Edelweiss Global Investment Advisory Business (EGIA) subsidiaries of up to INR equivalent to USD 44 million,&amp;quot; the CCI said in another release.  Sanaka's principal activity is that of investment holding and related activities with the objective to achieve long-term capital appreciation, it added.","Business,Competition Commission of India,SBI General Insurance,State Bank of India",https://www.moneycontrol.com//news/business/cci-approves-stake-buysbi-general-insurance-by-napean-opportunities-honey-wheat_13270501.html
SBI,2019-12-11T21:10:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Indian banks argue for UK court to declare Vijay Mallya bankrupt,"Judge Michael Briggs presided over the ongoing hearing in the insolvency division of the court on a bankruptcy petition filed by the banks last year, in relation to lending by Mallya's now-defunct Kingfisher Airlines.  ","A consortium of Indian public sector banks led by State Bank of India (SBI) sought a bankruptcy order against embattled liquor tycoon Vijay Mallya during a High Court hearing in London on December 11 as part of efforts to recoup around 1.145 billion pounds in unpaid loans.  Judge Michael Briggs presided over the ongoing hearing in the insolvency division of the court on a bankruptcy petition filed by the banks last year, in relation to lending by Mallya's now-defunct Kingfisher Airlines.  &amp;quot;Why should we take less than everything we are owed,&amp;quot; said Marcia Shekerdemian, the barrister for the Indian banks, in reference to settlement offers.  The court also heard that the banks do not accept the former Kingfisher Airlines boss' assertion that most of his assets are in India and to a lesser extent worldwide. A villa in France and assets spread across the British Virgin Islands, a trust registered in the Caribbean nation of St. Kitts &amp;amp;amp; Nevis and the Indian Empress superyacht in Malta were some of Mallya's worldwide assets referred to during the course of Wednesday's hearing.  &amp;quot;We cannot take Dr Mallya's assertions at face value,&rdquo; Shekerdemian said.  Mallya's legal team, led by barrister Philip Marshall, argued for the bankruptcy petition to be dismissed because their client was being unfairly pursued by the banks in India and the UK on opposing grounds.  &amp;quot;Payment has been inhibited by virtue of the intervention by the Enforcement Directorate of India&hellip; the banks are seeking a bankruptcy order against Dr Mallya for non-payment but have created a situation where he can't make a payment,&rdquo; Marshall told the court.  A previous UK High Court ruling had refused to overturn a worldwide order freezing Mallya's assets and upheld an Indian court's ruling that the consortium of 13 Indian banks were entitled to recover funds amounting to nearly 1.145 billion pounds. The banks then launched efforts to recover dues as part of the freezing order, with the bankruptcy petition aimed at seizing UK-based Mallya's assets to recover the dues.  Meanwhile, Mallya remains on bail pending the UK High Court appeal hearing in the extradition proceedings brought by India in relation to alleged fraud and money laundering charges amounting to Rs 9,000 crores.  He had been arrested on an extradition warrant back in April 2017 and has been fighting his extradition in the UK courts since then.  The 63-year-old businessman was granted permission to appeal against his extradition order, which is scheduled in the Royal Courts of Justice in London for February next year.","Business,Current Affairs,India,State Bank of India,Vijay Mallya",https://www.moneycontrol.com//news/business/indian-banks-argue-for-uk-court-to-declare-vijay-mallya-bankrupt_13263641.html
SBI,2019-12-11T08:12:06+05:30,"{'@type': 'Person', 'name': 'PTI'}",Indian banks back in UK court over Mallya's non-payment of debt,A previous UK High Court ruling had refused to overturn a worldwide order freezing vIJAY Mallya's assets,"A consortium of Indian public sector banks led by State Bank of India (SBI) are back in the UK high court to seek a bankruptcy order against liquor tycoon Vijay Mallya over the alleged unpaid debt of around 1.145 billion pounds.  Judge Michael Briggs is presiding over a hearing in the insolvency division of the court in London this week in relation to a bankruptcy petition filed by the banks back in 2018 in their attempt to recoup unpaid debt accrued by the now-defunct Kingfisher Airlines.  A previous UK High Court ruling had refused to overturn a worldwide order freezing Mallya's assets and upheld an Indian court's ruling that the consortium of 13 Indian banks were entitled to recover funds amounting to nearly 1.145 billion pounds.  The banks then launched efforts to recover dues as part of the freezing order, with the bankruptcy petition aimed at seizing UK-based Mallya's assets to recover the dues.  Besides SBI, the 13 Indian banks include Bank of Baroda, Corporation Bank, Federal Bank, IDBI Bank, Indian Overseas Bank, Jammu &amp;amp;amp; Kashmir Bank, Punjab &amp;amp;amp; Sind Bank, Punjab National Bank, State Bank of Mysore, UCO Bank, United Bank of India and JM Financial Asset Reconstruction Co. Pvt Ltd.  They have secured follow-on High Court orders to recover some of the funds owed to them as a result of Kingfisher Airlines' unpaid loans.  In July, the banks had won a High Court battle to access documents they were after to establish the true ownership of assets they believed were linked with the embattled liquor tycoon.  &ldquo;Frankly, the answer needs to be known as to which assets are that of Mr Mallya, both for the purpose of the worldwide freezing order and enforcement of the judgment,&rdquo; Justice Robin Knowles had ruled.  Two superyachts, a game reserve in South Africa, numerous undeclared high-value and vintage cars, valuable paintings and a piano previously owned by famous British singer-songwriter Elton John were among some of the assets on their target list.  The true ownership of a plush home overlooking Regent's Park in the heart of London also remains in contention.  Mallya's legal team has argued that the petition for bankruptcy in the UK should be dismissed because the banks are pursuing the same debt through the Indian courts.  The lawyers have also sought a stay on proceedings until Mallya's appeal against his extradition order, scheduled in the Royal Courts of Justice in London, is heard in February next year.  Meanwhile, Mallya remains on bail pending the appeal hearing in the extradition proceedings brought by India in relation to charges of fraud and money laundering amounting to an alleged Rs 9,000 crores.  He had been arrested on an extradition warrant back in April 2017 and has been fighting his extradition in the UK courts since then.","Business,SBI,Vijay Mallya",https://www.moneycontrol.com//news/business/indian-banks-backuk-court-over-mallya39s-non-paymentdebt_13261061.html
SBI,2019-12-10T14:18:06+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","SBI reports bad loan divergence of Rs 11,932 crore for FY19","SBI also reported divergence of Rs 12,036 crore in provisioning for the financial year ended March 2019.","State Bank of India (SBI) on December 10 reported bad loan divergence of Rs 11,932 crore for the last financial year, the country's largest lender said in a notification to exchanges.  SBI also reported divergence of Rs 12,036 crore in provisioning for the financial year ended March 2019.  The gross non-performing assets (NPAs) reported by the bank stood at Rs 1.73 lakh crore as on March 31, 2019. However, gross NPAs as detected by RBI was at Rs 1.85 lakh crore for the period.  While the bank provided Rs 1.07 lakh crore against bad loans, the provisioning requirement as assessed by RBI stood at Rs 1.19 lakh crore.  As a result, the bank's fourth-quarter net profit of Rs 838 crore stands adjusted to a net loss of Rs 6,986 crore after taking the additional provisioning into account.  Also, SBI said there would be the subsequent impact of Rs 3,143 crore on gross NPAs, Rs&nbsp;687 crore on net NPAs and Rs 4,654 crore on provisioning against bad loans in the third quarter of the current financial year.  The divergences were part of the bank's Risk Assessment Report by RBI for the financial year 2018-19.","Business,SBI,State Bank of India",https://www.moneycontrol.com//news/business/sbi-reports-bad-loan-divergencers-11932-crore-for-fy19_13258721.html
SBI,2019-12-09T12:25:06+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Cheaper home loans | SBI lowers MCLR-based lending rate by 10 bps; 8th consecutive cut in FY20,"&amp;quot;To pass on the benefit of our falling cost of funds to customers, we have reduced MCLR by 10 bps across all tenors,&amp;quot; the bank said in a statement","The country's largest lender State Bank of India on December 9 reduced its marginal cost of fund based lending rate (MCLR) by 10 basis points (100 bps=1 percentage point) across all one-year products, effective December 10. This is the eighth consecutive cut in MCLR by the lender in FY20.  &amp;quot;To pass on the benefit of our falling cost of funds to customers, we have reduced MCLR by 10 bps across all tenors,&amp;quot; the bank said in a statement.  The one-year MCLR has been cut to 7.90 percent from&nbsp;eight percent.&nbsp;The reduction after the Reserve Bank in a surprise move left key policy rates unchanged on December 5 at 5.15 percent.  (With PTI inputs)","basis points,Business,Companies,MCLR,SBI,State Bank of India",https://www.moneycontrol.com//news/business/cheaper-home-loans-|-sbi-lowers-mclr-based-lending-rate-by-10-bps-8th-consecutive-cutfy20_13254361.html
SBI,2019-12-04T16:34:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",SBI to sell 8.25% stake in UTI AMC via IPO,"SBI will sell by way of offer for sale of upto 1,04,59,949 equity shares.","The country's largest lender&nbsp;State Bank of India&nbsp;has decided to sell its 8.25 percent stake in UTI AMC through an initial public offering.  SBI, LIC, Punjab National Bank and Bank of Baroda each hold 18.5 percent stake in the UTI AMC. The remaining stake is held by US company T Rowe Price.  &amp;quot;We advise that the executive committee of the central board of directors (ECCB) of the bank today has accorded final approval for the divestment of SBI stake in UTI AMC upto 8.25 percent through&nbsp;IPO,&amp;quot; the bank said in its BSE filing on December 4.  SBI, by way of offer for sale, will sell upto 1,04,59,949 equity shares, subject to the approval of the SEBI and other authorities and departments.  The bank also has AMC business. As per crossholding limit introduced by the SEBI in March 2018, if a shareholder has at least 10 percent stake in a mutual fund, then it cannot hold a similar-sized stake in another fund house and would also have to give up its board positions.","Business,IPO - News,State Bank of India",https://www.moneycontrol.com//news/business/sbi-to-sell-825-stakeuti-amc-via-ipo_13243141.html
